0.02,28.3
0.12,28.3
0.22,28.3
0.33,28.3
0.43,28.3
0.53,28.3
0.63,28.3
0.73,28.3
0.83,28.3
0.94,28.3
1.04,28.3
1.14,28.3
1.24,28.3
1.34,28.3
1.45,28.3
1.55,28.3
1.65,28.3
1.75,28.3
1.85,28.3
1.95,28.3
2.08,28.3
2.18,28.3
2.28,28.3
2.38,28.3
2.49,28.3
2.59,28.3
2.69,28.3
2.79,28.3
2.89,28.3
3.0,28.3
3.1,28.3
3.2,28.3
3.3,28.3
3.4,28.3
3.51,28.3
3.61,28.3
3.71,28.3
3.81,28.3
3.91,28.3
4.03,28.3
4.14,28.3
4.24,28.3
4.34,28.3
4.44,28.3
4.54,28.3
4.65,28.3
4.75,28.3
4.85,28.3
4.95,28.3
5.05,28.3
5.15,28.3
5.26,28.3
5.36,28.3
5.46,28.3
5.56,28.3
5.66,28.3
5.77,28.3
5.87,28.3
5.97,28.3
6.09,28.3
6.2,28.3
6.3,28.3
6.4,28.3
6.5,28.3
6.6,28.3
6.71,28.3
6.81,28.3
6.91,28.3
7.01,28.3
7.11,28.3
7.21,28.3
7.32,28.3
7.42,28.3
7.52,28.3
7.62,28.3
7.72,28.3
7.82,28.3
7.93,28.3
8.05,28.3
8.15,28.3
8.25,28.3
8.35,28.3
8.46,28.3
8.56,28.3
8.66,28.3
8.76,28.3
8.86,28.3
8.97,28.3
9.07,28.3
9.17,28.3
9.27,28.3
9.37,28.3
9.48,28.3
9.58,28.3
9.68,28.3
9.78,28.3
9.88,28.3
9.98,28.4
10.11,28.4
10.21,28.4
10.31,28.4
10.41,28.4
10.52,28.4
10.62,28.4
10.72,28.4
10.82,28.4
10.92,28.4
11.02,28.4
11.13,28.4
11.23,28.4
11.33,28.4
11.43,28.4
11.53,28.4
11.64,28.4
11.74,28.4
11.84,28.4
11.94,28.4
12.06,28.4
12.17,28.4
12.27,28.4
12.37,28.4
12.47,28.4
12.57,28.4
12.68,28.4
12.78,28.4
12.88,28.4
12.98,28.4
13.08,28.4
13.19,28.4
13.29,28.4
13.39,28.4
13.49,28.4
13.59,28.4
13.69,28.4
13.8,28.4
13.9,28.4
14.0,28.6
14.13,28.6
14.23,28.6
14.33,28.6
14.43,28.6
14.53,28.6
14.64,28.6
14.74,28.6
14.84,28.6
14.94,28.6
15.04,28.6
15.14,28.6
15.25,28.6
15.35,28.6
15.45,28.6
15.55,28.6
15.65,28.6
15.76,28.6
15.86,28.6
15.96,28.6
16.08,28.8
16.18,28.8
16.29,28.8
16.39,28.8
16.49,28.8
16.59,28.8
16.69,28.8
16.8,28.8
16.9,28.8
17.0,28.8
17.1,28.8
17.2,28.8
17.3,28.8
17.41,28.8
17.51,28.8
17.61,28.8
17.71,28.8
17.81,28.8
17.92,28.8
18.02,28.8
18.14,28.8
18.25,28.8
18.35,28.8
18.45,28.8
18.55,28.8
18.65,28.8
18.75,28.8
18.86,28.8
18.96,28.8
19.06,28.8
19.16,28.8
19.26,28.8
19.36,28.8
19.47,28.8
19.57,28.8
19.67,28.8
19.77,28.8
19.87,28.8
19.98,28.8
20.1,29.0
20.2,29.0
20.3,29.0
20.41,29.0
20.51,29.0
20.61,29.0
20.71,29.0
20.81,29.0
20.92,29.0
21.02,29.0
21.12,29.0
21.22,29.0
21.32,29.0
21.42,29.0
21.53,29.0
21.63,29.0
21.73,29.0
21.83,29.0
21.93,29.0
22.03,29.1
22.16,29.1
22.26,29.1
22.36,29.1
22.46,29.1
22.57,29.1
22.67,29.1
22.77,29.1
22.87,29.1
22.97,29.1
23.08,29.1
23.18,29.1
23.28,29.1
23.38,29.1
23.48,29.1
23.58,29.1
